"FD.metric","x_y.r0","x_y.lag","x_y.skill","y_x.r0","y_x.lag","y_x.skill","state.metric","system","res","troph"
"FDis",-0.0495922598041035,35,0.198545309617752,0.124623946904252,-52,0.169567995139835,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.083779793503086,-44,0.1653452773025,-0.0845774086328098,46,0.130629481891801,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0976597939363959,50,0.196521232183754,0.140784225870712,-53,0.15066153656425,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0273084756180785,-46,0.161016257904359,0.00390258734365685,-31,0.196121492469479,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0681010511066724,-57,0.215247872932955,-0.0605140442191919,-59,0.174711703152032,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.00566530467856357,34,0.116329407523238,-0.0109859509379103,-50,0.147866107196179,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0432868128648036,-55,0.179270234014597,-0.0992015878225208,-22,0.219296230179316,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.00310141691732537,-15,0.20613507650705,0.147068258810081,0,0.147068258810081,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.150487761710821,37,0.25476646130599,-0.087758626126154,-26,0.188858584221659,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.048208806859047,5,0.172232162576981,0.0302959350078448,-34,0.173229598255094,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0785856076755148,-58,0.14824081431252,-0.167265626609193,-56,0.207522442055405,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.00728864901496977,48,0.173007371360762,-0.0508621306379537,34,0.16457470671562,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0232618169739299,39,0.236228571468623,-0.00942556264650486,-44,0.227635824959301,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0117313812640836,-20,0.238172687385861,-0.060958252551513,22,0.17202969410174,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.183227844454427,0,0.183227844454427,-0.0326641781793702,-37,0.26514473899242,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.039173543317461,35,0.30384257481432,-0.0943648272195018,-46,0.162512825023565,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0833958695411251,11,0.166096248233036,-0.0476573275577124,-8,0.173810669134249,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0610507441659544,-27,0.172994921182273,0.103815211311209,-43,0.182970967083333,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0543465184644335,-36,0.149640998871571,-0.119774414975752,27,0.173228101123942,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.11644045464035,4,0.205573778282212,-0.00332352285665714,-46,0.185503456756942,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0270643342168631,21,0.144677914992848,0.0458989797570185,-23,0.13970461007073,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0596212149658863,-28,0.1429126684661,-0.00807593372085801,46,0.194959129242922,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0887356431820791,36,0.273172476147152,0.039601235245041,-42,0.244305455459799,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0196737231905285,57,0.144233926033445,0.0519623185572716,11,0.133043471205561,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0420765830749134,-60,0.104685290000276,0.0882452153162862,-6,0.15727683415878,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0346692690680879,15,0.136373794043378,-0.0331225727127944,-44,0.196257548327516,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0136850703683222,17,0.183913685901204,0.07698557733215,45,0.184278244849286,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.075474613202099,-13,0.257478061370765,-0.0114884884520457,-45,0.174878629516627,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.00826133034408858,-60,0.194072387650713,-0.156673889210115,58,0.176483453142527,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0182805285906793,56,0.207750419048533,0.0799575731565557,-26,0.151293707688038,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.00924928533431574,26,0.152383104143278,-0.103015355336191,19,0.148646595829936,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0584200888527033,50,0.140895509743622,0.0131535592855496,-26,0.17528390680661,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.00135511888180159,38,0.143890683658117,0.0628112742199817,41,0.176354931062845,"Community","Kinneret","Month","Phytoplankton"
"FDis",-0.0632279643912817,-38,0.158791352176853,0.101174507192173,6,0.190386116579902,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0896117326596784,55,0.165982551046058,-0.0101480822369557,-58,0.254373971910285,"Community","Kinneret","Month","Phytoplankton"
"FDis",0.0744626204033399,-51,0.216544047148602,-0.0647650946610493,59,0.168664057388495,"Community","Kinneret","Month","Phytoplankton"
